company_name,business_category,website,email,phone,address,city,country,area,source
Leith Optical Company,eye,,leithoptical@fsmail.net,+44 131 554 8316,EH1-EH20,Edinburgh,UK,,no_website
Medallion Vision Centre,eye,,medallionvision@gmail.com,+1-214-579-9920,Central,Dallas,USA,,no_website
Al Areej,dental,,alareej3@eim.ae,+971 2 556 5882;+971 50 771 0739;+971 50,All,Abu Dhabi,AE,,no_website
EAM Dialysis Centre,hospital,,enquiry@eamdialysis.com,,Central,Kuala Lumpur,MY,,no_website
Klinik Ho n Ho,hospital,,klinikhonho@gmail.com,+603-9130 9812,Central,Kuala Lumpur,MY,,no_website
KLINIK LANA,hospital,,kliniklana@yahoo.com,+60377703677,Central,Kuala Lumpur,MY,,no_website
Pusat Hemodialisis Yayasan Al-Sultan Abdullah (YASA) Setiawangsa,hospital,,yasadialysis.setiawangsa@gmail.com,+60 3-4265 7888,Central,Kuala Lumpur,MY,,no_website
"Klinik Perubatan Hijraa, Wangsa Maju",hospital,,hijraawm@gmail.com,,Central,Kuala Lumpur,MY,,no_website
Klinik Nova,hospital,,kliniknovalakeville@gmail.com,,Central,Kuala Lumpur,MY,,no_website
Klinik Siti,hospital,,kliniksitianting@gmail.com,0192599040,Central,Kuala Lumpur,MY,,no_website
Dr Maria Anagnostou,dental,,managnostou@optusnet.com.au,+61 3 9813 2294,Central,Melbourne,AU,,no_website
Malvern Smile Studio,dental,,info@malvernsmilestudio.com.au,+61 3 9088 1010,Central,Melbourne,AU,,no_website
Eye Q Visioncare,eye,,eyeqcare@gmail.com,,Central,Kuala Lumpur,MY,,no_website
South Brisbane Vet,pet_store,,southbrisbanevet@gmail.com,+61 7 3846 0043,Central,Brisbane,AU,,no_website
Standard Medical Clinic,hospital,,info@standardmc.com,,All,Dubai,AE,,no_website
Eliya Medical Center,hospital,,eliyamedicalcenter@gmail.com,+971 6 551 2898,All,Dubai,AE,,no_website
Al Khail Medical Center,hospital,,alkhailmedicalcenter@gmail.com,043306745,All,Dubai,AE,,no_website
Midson Road Veterinary Clinc,pet_store,,gdbaker@midsonrdvets.com,+61 2 9868 2055,Central,Sydney,AU,,no_website
Horton Implants,dental,,info@hortonimplantsd.com,,B1-B30,Birmingham,UK,,no_website
Furry Paws,pet_store,,furrypawsnyc@gmail.com,+1-212-528-5308,Manhattan,New York,USA,,no_website
Queens Veterinary Center,pet_store,,qvc2827@gmail.com,+1 718-689-2332,Manhattan,New York,USA,,no_website
Dallas Laser Dentistry,dental,,dallaslaserdentistrytx@gmail.com,,Central,Dallas,USA,,no_website
Fashion Optometry,eye,,fashionopticalcorp@gmail.com,+1 626-821-2220,"South Golden West Avenue, Arcadia, 91007",Los Angeles,USA,,no_website
Q&M,dental,,Funan@qnm.sg,+65 69799296,"North Bridge Road Funan, Singapore, 179105",Singapore,SG,,no_website
พินิจการแว่น,eye,,akenatphuket@gmail.com,0940592656,83159,Phuket,TH,,no_website
ปั้นทอง3,hospital,,pongsakorn6200@gmail.com,0816556200,"ถนนลาดปลาเค้า, 10220",Bangkok,TH,,no_website
Summer Puppy,pet_store,,summerpuppysf@gmail.com,,Irving Street,San Francisco,USA,,no_website
San Francisco SPCA Veterinary Hospital - Mission Campus,pet_store,,hospital@sfspca.org,+1 415-554-3030,"Alabama Street, San Francisco, 94103",San Francisco,USA,,no_website
Truelight Vision,eye,,jmsliou@gmail.com,+6598592891,"Ang Mo Kio Avenue 4, 560163",Singapore,SG,,no_website
Annandale Eye Care,hospital,,admin@annandaleeyecare.com.au,+61 2 9043 5009,"Booth Street, 2038",Sydney,AU,,no_website
Andy's Aquatics,pet_store,,andysaquatics@hotmail.co.uk,+44 151 645 8939,"Beaconsfield Road, Wirral, CH62 1AD",Liverpool,UK,,no_website
Sydney CBD Dentist,dental,,info@sydneycbddentist.com.au,+61 2 9262 3037,Clarence Street,Sydney,AU,,no_website
All Dent,dental,,alldentofficial@gmail.com,+66 85 182 3338,"ถนนคอนแวนต์, 10500",Bangkok,TH,,no_website
คลินิกทันตกรรมก้อนเมฆ,dental,,kasidit_fighter@hotmail.com,+66 80 959 5444,ซอยประชาสงเคราะห์ 14,Bangkok,TH,,no_website
อะเบาท์ทูธเดนทัลคลินิก,dental,,AllAboutToothDental@gmail.com,+66993431325,"ถนนจักรพงษ์, 10200",Bangkok,TH,,no_website
Beauty Pets,pet_store,,moien@aquariumlives.com,+971 4 272 3919;+971 50 879 3414,All,Dubai,AE,,no_website
B'smiley Cattitude,pet_store,,izhar@bsmiley.sg,,"MacPherson Road, Singapore, 368190",Singapore,SG,,no_website
Buttercup 7 Day Dental,dental,,reception@buttercup7daydental.co.uk,+44 141 334 4550,"Norby Road, Glasgow, G11 7BN",Glasgow,UK,,no_website
Lamd Medical Group and Urgent Care,hospital,,scanslamd@gmail.com,+1 718-639-3603,"Roosevelt Avenue, 11377",New York,USA,,no_website
Outback Oddities,pet_store,,outbackodditiesshop@gmail.com,+44 1924 900303,"Station Road, Ossett, WF5 8AD",Leeds,UK,,no_website
Aquatica,pet_store,,aquaexoticwfd@talk21.com,+44 1924 384473,"Brook Street, Wakefield, WF1 1QW",Leeds,UK,,no_website
TJ's Pet Supplies,pet_store,,Tjspetsupplies1@gmail.com,+44 7415 742035,"Stanningley Road, Leeds, LS13 3EG",Leeds,UK,,no_website
K9 Creations,pet_store,,k9creationsleeds@hotmail.co.uk,+44 7564 410908,"Stanningley Road, Leeds, LS13 3EG",Leeds,UK,,no_website
Hong Yuan TCM 鸿元中医,hospital,,hongyuantcm@gmail.com,6075596370,"Jalan Indah 10/1, Iskandar Puteri, 79100",Singapore,SG,,no_website
Poliklinik horizon family,hospital,,hhealthcare08@gmail.com,075539558,All,Singapore,SG,,no_website
Urmston Pet Shop,pet_store,,urmstonpetshop@gmail.com,,"Railway Road, Manchester, M41 0XL",Manchester,UK,,no_website
Pets Corner,pet_store,,cobham@petscorner.co.uk,+44 1932 596848,"Anyards Road, Cobham, KT11 2LA",London,UK,,no_website
Power Up,physio,,powerup.1@yahoo.com,,"Heath Road, Twickenham, TW1 4BN",London,UK,,no_website
Robert Frith Optometrists,eye,,twickenham@frithsopticians.co.uk,+44 20 8892 1682,"Heath Road, Twickenham, TW1 4BW",London,UK,,no_website
Bolney Court Dental Practice,dental,,bolneyct_dental@btconnect.com,+44 20 3005 4432,"Lawrie Park Road, London, SE26 6DP",London,UK,,no_website
Mayank Parmar Test,dental,,graphionic@gmail.com,+918849346919,"Surat, Gujarat, India",Surat,IN,,no_website
Goddard Veterinary Group,pet_store,,walthamstow@goddardvetgroup.co.uk,+44 20 8520 5455,"Grove Road, London, E17 9BU",London,UK,,no_website
Glow Dentistry,dental,,info@glowdentistry.co.uk,+44 20 7433 3252,North,London,UK,,no_website
Hospital for Small Animals,pet_store,,HFSAreception@ed.ac.uk,+44 131 650 7650,EH1-EH20,Edinburgh,UK,EH1-EH20,super_fast_uk
"Ian Hamel, DDS Inc.",dental,,ianlhameldds@gmail.com,+1 818-842-6030,Central,Los Angeles,USA,Central,super_fast_usa
Clínica Hispana Cruz #3,hospital,,clinicahcruz3@gmail.com,,Central,Houston,USA,Central,super_fast_usa
Vets4Pets,pet_store,,oldbury@companioncare.co.uk,+44 121 270 2282,B1-B30,Birmingham,UK,B1-B30,super_fast_uk
Broadway Vision,eye,,bvc4047@gmail.com,+1 212-927-2020,Manhattan,New York,USA,Manhattan,super_fast_usa
Glow Dentistry,dental,,millhill@glowdentistry.co.uk,+44 20 8906 7676,North,London,UK,North,super_fast_uk
Ocean & Land Corp,eye,,info@citysunglass.com,+1-323-985-6700,Central,Los Angeles,USA,Central,super_fast_usa
พัฒนชัยการแว่น,eye,,sudarat69149@gmail.com,+66 85 823 8797,Central,Bangkok,TH,Central,super_fast_th
King's Dental Clinic,dental,,kings.dentalcentre@gmail.com,+60182929191,Central,Kuala Lumpur,MY,Central,super_fast_my
Julian Davies,eye,,rnrobertswc@gmail.com,+44 2920 529911,CF1-CF20,Cardiff,UK,CF1-CF20,super_fast_uk
The Health Shop,hospital,,healthshop@nottshc.nhs.uk,+44 115 905 5001,NG1-NG20,Nottingham,UK,NG1-NG20,super_fast_uk
Austin Artistic Dental,dental,,austinartisticdental@gmail.com,+1-512-292-9209,Central,Austin,USA,Central,super_fast_usa
The Eye Specialist Southkey (眼科专家 Southkey),hospital,,cs@theeyess.com,+6073365674,Central,Johor Bahru,MY,Central,super_fast_my
R.E. Mallari Clinical Diagnostic Laboratory,hospital,,remallariclinicaldiagnosticlab@gmail.com,+63 2776855,Central,Manila,PH,Central,super_fast_ph
St. Cecilia Polyclinic,hospital,,stceciliapolyclinic@hotmail.com,+63 2 526 2643;+63 2 526 2621,Central,Manila,PH,Central,super_fast_ph
Malabon Social Hygiene Clinic,hospital,,malabon.shc@yahoo.com,,Central,Manila,PH,Central,super_fast_ph
Angelus Medical Clinic,hospital,,amci@angelusmedicalph.com,,Central,Manila,PH,Central,super_fast_ph
Agoncillo Medical Clinic,hospital,,agoncillomed@yahoo.com,+63 2 5302 5288,Central,Manila,PH,Central,super_fast_ph
Health Cube,hospital,,inquiry@healthcube.com.ph,+63 2 652 1111,Central,Manila,PH,Central,super_fast_ph
